"URL","都道府県","経営主体","病院名","病床数","住所","電話"
"https://asahikawa.hosp.go.jp/","北海道","独立行政法人国立病院機構","旭川医療センター",310,"北海道旭川市花咲町7-4048","0166-51-3161"
"http://hnh-hosp.jp/","北海道","独立行政法人国立病院機構","函館病院",310,"北海道函館市川原町18-16","0138-51-6281"
"http://www.hosp.go.jp/~hokkaidomc/","北海道","独立行政法人国立病院機構","北海道医療センター",500,"北海道札幌市西区山の手5条7-1-1","011-611-8111"
"http://www.huhp.hokudai.ac.jp","北海道","国立大学法人","北海道大学病院",944,"北海道札幌市北区北14条西5","011-716-1161"
"http://www.kushiroh.johas.go.jp","北海道","独立行政法人労働者健康安全機構","釧路労災病院",450,"北海道釧路市中園町13-23","0154-22-7191"
"http://hokkaidoh.johas.go.jp/","北海道","独立行政法人労働者健康安全機構","北海道中央労災病院",199,"北海道岩見沢市4条東16-5","0126-22-1300"
"http://hokushin.jcho.go.jp/","北海道","独立行政法人地域医療機能推進機構","独立行政法人地域医療機能推進機構　札幌北辰病院",276,"北海道札幌市厚別区厚別中央2条6-2-1","011-893-3000"
"https://noboribetsu.jcho.go.jp/","北海道","独立行政法人地域医療機能推進機構","登別病院",199,"北海道登別市登別温泉町133","0143-84-2165"
"http://hokkaido.jcho.go.jp","北海道","独立行政法人地域医療機能推進機構","北海道病院",358,"北海道札幌市豊平区中の島1条8-3-18","011-831-5151"
"http://www.pref.hokkaido.lg.jp/db/esb/","北海道","都道府県","北海道立江差病院",198,"北海道桧山郡江差町字伏木戸町484","0139-52-0036"
"http://www.pref.hokkaido.lg.jp/hf/hbb/","北海道","都道府県","北海道立羽幌病院",120,"北海道苫前郡羽幌町栄町110","0164-62-6060"
"http://www.otaru-general-hospital.jp/","北海道","市町村","小樽市立病院",388,"北海道小樽市若松1-1-1","0134-25-1211"
"http://www.mombetsu-hospital.jp/","北海道","市町村","広域紋別病院",150,"北海道紋別市落石町1-3-37","0158-24-3111"
"http://www.shibetsu-hp.jp/","北海道","市町村","士別市立病院",148,"北海道士別市東11条5-3029-1","0165-23-2166"
"http://www.city.asahikawa.hokkaido.jp/hospital/","北海道","市町村","市立旭川病院",478,"北海道旭川市金星町1-1-65","0166-24-3181"
"http://www.kushiro-cghp.jp","北海道","市町村","市立釧路総合病院",643,"北海道釧路市春湖台1-12","0154-41-6121"
"http://www.city.sapporo.jp/hospital/","北海道","市町村","市立札幌病院",672,"北海道札幌市中央区北11条西13-1-1","011-726-2211"
"https://chitose-shimin-hospital.jp","北海道","市町村","市立千歳市民病院",190,"北海道千歳市北光2-1-1","0123-24-3000"
"http://www.hospital.hakodate.hokkaido.jp/","北海道","市町村","市立函館病院",648,"北海道函館市港町1-10-1","0138-43-2000"
"http://www.city.muroran.hokkaido.jp/main/org8400/","北海道","市町村","市立室蘭総合病院",549,"北海道室蘭市山手町3-8-1","0143-25-3111"
"http://www.city.wakkanai.hokkaido.jp/hospital/","北海道","市町村","市立稚内病院",332,"北海道稚内市中央4-11-6","0162-23-2771"
"http://www.med.sunagawa.hokkaido.jp","北海道","市町村","砂川市立病院",498,"北海道砂川市西4条北3-1-1","0125-54-2131"
"http://www.nakashibetsu.jp/nakashibetsu_byouin/","北海道","市町村","町立中標津病院",199,"北海道標津郡中標津町西10条南9-1-1","0153-72-8200"
"http://www.city.tomakomai.hokkaido.jp/hospital/","北海道","市町村","苫小牧市立病院",382,"北海道苫小牧市清水町1-5-20","0144-33-3131"
"http://www.nayoroch.jp/","北海道","市町村","名寄市立総合病院",359,"北海道名寄市西7条南8-1","01654-3-3101"
"http://web.sapmed.ac.jp/hospital/","北海道","地方独立行政法人","札幌医科大学附属病院",938,"北海道札幌市中央区南1条西16-291","011-611-2111"
"http://www.asahikawa.jrc.or.jp","北海道","日赤","旭川赤十字病院",520,"北海道旭川市曙1条1-1-1","0166-22-8111"
"http://www.urakawa.jrc.or.jp","北海道","日赤","浦河赤十字病院",196,"北海道浦河郡浦河町東町ちのみ1-2-1","0146-22-5111"
"http://oketored.server-shared.com/","北海道","日赤","置戸赤十字病院",95,"北海道常呂郡置戸町字置戸77","0157-52-3321"
"http://www.kitami.jrc.or.jp","北海道","日赤","北見赤十字病院",532,"北海道北見市北6条東2丁目1番地","0157-24-3115"
"http://www.kushiro.jrc.or.jp","北海道","日赤","釧路赤十字病院",489,"北海道釧路市新栄町21-14","0154-22-7171"
"http://www.kuriyama.jrc.or.jp/","北海道","日赤","栗山赤十字病院",136,"北海道夕張郡栗山町朝日3-2","0123-72-1015"
"http://www.phoenix-c.or.jp/~krchp/","北海道","日赤","小清水赤十字病院",99,"北海道斜里郡小清水町南町2丁目3番3号","0152-62-2121"
"http://shimizu.jrc.or.jp/","北海道","日赤","清水赤十字病院",92,"北海道上川郡清水町南2条2-1","0156-62-2513"
"http://date.jrc.or.jp/","北海道","日赤","伊達赤十字病院",374,"北海道伊達市末永町81","0142-23-2211"
"http://www.hakodate.jrc.or.jp","北海道","日赤","函館赤十字病院",150,"北海道函館市堀川町6-21","0138-51-5315"
"http://www.saiseikai-otaru.jp","北海道","済生会","済生会小樽病院",258,"北海道小樽市築港10-1","0134-25-4321"
"http://www.saisei-nishiotaru.jp","北海道","済生会","北海道済生会西小樽病院",220,"北海道小樽市長橋3-24-1","0134-32-5131"
"http://www.otarukyokai.or.jp","北海道","北海道社会事業協会","小樽病院",240,"北海道小樽市住ノ江1-6-15","0134-23-6234"
"http://www.obihiro-kyokai-hsp.jp/","北海道","北海道社会事業協会","帯広病院",300,"北海道帯広市東5条南9-2","0155-22-6600"
"http://www.hakodatekyokaihp.com/","北海道","北海道社会事業協会","函館病院",286,"北海道函館市駒場町4-6","0138-53-5511"
"http://msknet.ne.jp/~furano-hospital/","北海道","北海道社会事業協会","富良野病院",255,"北海道富良野市住吉町1-30","0167-23-2181"
"http://www.yoichi-hospital.com","北海道","北海道社会事業協会","余市病院",172,"北海道余市郡余市町黒川町19-1-1","0135-23-3126"
"http://www.dou-kouseiren.com/byouin/asahikawa/","北海道","厚生連","旭川厚生病院",539,"北海道旭川市1条通24-111-3","0166-33-7171"
"http://www.dou-kouseiren.com/byouin/abasiri/","北海道","厚生連","網走厚生病院",355,"北海道網走市北6条西1-9","0152-43-3157"
"http://www.dou-kouseiren.com/byouin/engaru/","北海道","厚生連","遠軽厚生病院",337,"北海道紋別郡遠軽町大通北3-1-5","0158-42-4101"
"http://www.dou-kouseiren.com/byouin/obihiro/","北海道","厚生連","帯広厚生病院",748,"北海道帯広市西14条南10-1","0155-24-4161"
"http://www.dou-kouseiren.com/byouin/sapporo/","北海道","厚生連","札幌厚生病院",519,"北海道札幌市中央区北3条東8-5","011-261-5331"
"http://www.kkr-smc.com/","北海道","共済組合及び連合会","ＫＫＲ札幌医療センター",410,"北海道札幌市豊平区平岸1条6-3-40","011-822-1811"
"http://www.tonan.gr.jp/","北海道","共済組合及び連合会","斗南病院",283,"北海道札幌市中央区北4条西7丁目3-8","011-231-2121"
"http://www.zhi.or.jp","北海道","公益法人","帯広第一病院",230,"北海道帯広市西4条南15-17-3","0155-25-3121"
"http://www.satsubyo.com","北海道","公益法人","勤医協札幌病院",105,"北海道札幌市白石区菊水4条1-9-22","011-811-2246"
"http://www.kin-ikyo-chuo.jp","北海道","公益法人","勤医協中央病院",450,"北海道札幌市東区東苗穂5条1-9-1","011-782-9111"
"http://www.hmahospital.com","北海道","公益法人","函館市医師会病院",240,"北海道函館市富岡町2-10-10","0138-43-6000"
"http://abashiri-chuo.or.jp/","北海道","医療法人","網走中央病院",86,"北海道網走市南6条東1-7","0152-44-8611"
"http://www.hokushokai.or.jp/i_hokushokai_hp/index.html","北海道","医療法人","岩見沢北翔会病院",99,"北海道岩見沢市10条西21-1-1","0126-32-2188"
"http://www.keiwakai-ebetsu.or.jp","北海道","医療法人","江別病院",200,"北海道江別市野幌代々木町81-6","011-382-1111"
"http://www.ojihosp.or.jp","北海道","医療法人","王子総合病院",440,"北海道苫小牧市若草町3-4-8","0144-32-8111"
"http://www.ogasawara-hp.or.jp","北海道","医療法人","小笠原記念札幌病院",80,"北海道札幌市南区真駒内緑町1-2-1","011-583-2000"
"http://www.hakodate-kameda-hp.com/","北海道","医療法人","亀田病院",179,"北海道函館市昭和1-23-11","0138-40-1500"
"http://www.karasawa.or.jp/","北海道","医療法人","唐沢病院",60,"北海道旭川市4条通9丁目左8号","0166-23-3165"
"http://www.kunimoto-hp.com/","北海道","医療法人","くにもと病院",61,"北海道旭川市曙1条7-2-1","0166-25-2241"
"http://www.sapporo-ohta.or.jp/","北海道","医療法人","札幌太田病院",234,"北海道札幌市西区山の手5条5-1-1","011-644-5111"
"http://www.zion-g.jp/susukino/","北海道","医療法人","札幌ススキノ病院",50,"北海道札幌市中央区南6条西8-5","011-512-2000"
"http://www2.satutoku.jp","北海道","医療法人","札幌徳洲会病院",301,"北海道札幌市厚別区大谷地東1-1-1","011-890-1110"
"https://www.higashi-tokushukai.or.jp/","北海道","医療法人","札幌東徳洲会病院",325,"北海道札幌市東区北33条東14丁目3-1","011-722-1110"
"http://www.zion-g.jp/sapporominami/","北海道","医療法人","札幌南病院",100,"北海道札幌市南区石山東7-1-28","011-591-1200"
"http://www.sc-hp.org/","北海道","医療法人","白石中央病院",96,"北海道札幌市白石区平和通3丁目北2-3","011-861-8171"
"http://www.snh.or.jp/","北海道","医療法人","新さっぽろ脳神経外科病院",135,"北海道札幌市厚別区上野幌1条2-1-10","011-891-2500"
"http://houwa.or.jp/shinsapporo/","北海道","医療法人","新札幌豊和会病院",140,"北海道札幌市厚別区大谷地東2-5-12","011-893-7000"
"http://seiwa-mh.jp/","北海道","医療法人","静和記念病院",95,"北海道札幌市西区琴似1条5-1-1","011-611-1111"
"http://www.keijinkai.com/teine/","北海道","医療法人","手稲渓仁会病院",670,"北海道札幌市手稲区前田1条12-1-40","011-681-8111"
"http://www.toya-onsen-hospital.or.jp","北海道","医療法人","洞爺温泉病院",216,"北海道虻田郡洞爺湖町洞爺町54-41","0142-87-2311"
"http://www.hsh.or.jp","北海道","医療法人","東札幌病院",243,"北海道札幌市白石区東札幌3条3-7-35","011-812-2311"
"http://www.hnsmhp.or.jp/","北海道","医療法人","北海道脳神経外科記念病院",134,"北海道札幌市西区八軒9条東5-1-20","011-717-2131"
"http://taiheiyo.jp/","北海道","医療法人","室蘭太平洋病院",210,"北海道室蘭市白鳥台5-19-2","0143-59-2211"
"http://www.seijinkai-mori.jp/seijinkai/mori/","北海道","医療法人","森病院",135,"北海道函館市桔梗町557番地","0138-47-2222"
"http://www.keiyukai-group.com/yoshi-hp/","北海道","医療法人","吉田病院",263,"北海道旭川市4条西4-1-2","0166-25-1115"
"http://www.s-junkanki.or.jp/","北海道","特定医療法人","札幌循環器病院",89,"北海道札幌市中央区北11条西14-29-15","011-747-5821"
"http://barato-hospital.or.jp/","北海道","特定医療法人","茨戸病院",173,"北海道石狩市花川東128-14","0133-74-3011"
"http://www.keiyukaisapporo.or.jp/","北海道","社会医療法人","恵佑会札幌病院",229,"北海道札幌市白石区本通14丁目北1-1","011-863-2101"
"http://kiyota-hp.or.jp","北海道","社会医療法人","札幌清田病院",109,"北海道札幌市清田区真栄1条1-1-1","011-883-6111"
"http://www.ssn-hp.jp","北海道","社会医療法人","札幌白石記念病院",103,"北海道札幌市白石区本通8南1-10","011-863-5151"
"http://www.teishinkai.jp/thp/","北海道","社会医療法人","札幌禎心会病院",279,"北海道札幌市東区北33条東1-3-1","011-712-1131"
"http://www.h-keiaikai.or.jp/minamiichijo/","北海道","社会医療法人","札幌南一条病院",147,"北海道札幌市中央区南1条西13-317-1","011-271-3711"
"http://takahashi-group.jp/","北海道","社会医療法人","社会医療法人　高橋病院",179,"北海道函館市元町32-18","0138-23-7221"
"http://www.nshp-muroran.or.jp/","北海道","社会医療法人","製鉄記念室蘭病院",347,"北海道室蘭市知利別町1-45","0143-44-4650"
"http://www.inazumi.or.jp/","北海道","社会医療法人","手稲いなづみ病院",95,"北海道札幌市手稲区前田三条4-2-6","011-685-2200"
"http://www.tokeidaihosp.or.jp/","北海道","社会医療法人","時計台記念病院",250,"北海道札幌市中央区北1条東1-2-3","011-251-1221"
"http://health-heart-hope.com/","北海道","社会医療法人","苫小牧東病院",260,"北海道苫小牧市明野新町５丁目１番３０号","0144-55-8811"
"http://www.nmh.or.jp/","北海道","社会医療法人","中村記念病院",499,"北海道札幌市中央区南1条西14-291","011-231-8555"
"http://www.nishioka-hosp.jp","北海道","社会医療法人","西岡病院",98,"北海道札幌市豊平区西岡4条4-1-52","011-853-8322"
"http://www.nikko-kinen.or.jp/","北海道","社会医療法人","日鋼記念病院",479,"北海道室蘭市新富町1-5-13","0143-24-1331"
"http://www.jikeikai.or.jp/facility/p1.html","北海道","社会医療法人","聖ヶ丘病院",288,"北海道伊達市舟岡町214-22","0142-21-5300"
"http://www.hokuto7.or.jp/","北海道","社会医療法人","北斗病院",267,"北海道帯広市稲田町基線7-5","0155-48-8000"
