URL,都道府県,経営主体,病院名,病床数,住所,電話,備考,備考出典
,宮城県,医療法人,猪苗代病院,60,宮城県気仙沼市南町1-3-7,0226-22-7180,廃止,https://www.town.inawashiro.fukushima.jp/cb/hpc/Article-20-413.html
https://www.natorikumanodou.net/,宮城県,医療法人,名取熊野堂病院,112,宮城県名取市高舘熊野堂字岩口下68-1,022-386-2131,,
http://ksm.tokyo-med.ac.jp/,茨城県,私立学校法人,東京医科大学茨城医療センター,501,茨城県稲敷郡阿見町中央3-20-1,029-887-1161,,
http://nasumed.sakura.ne.jp/public/kuroiso/kc-kuroiso.html,栃木県,医療法人,黒磯病院,55,栃木県那須塩原市高砂町3-5,0287-62-0961,,
http://www.yohwakai.com/,東京都,特定医療法人,武蔵野陽和会病院,103,東京都武蔵野市緑町2-1-33,0422-52-3212,,
https://www.nms.ac.jp/hosp/,東京都,私立学校法人,日本医科大学付属病院,897,東京都文京区千駄木１丁目１番５号,03-3822-2131,,
https://yokohama-shiminhosp.jp/,神奈川県,市町村,横浜市立市民病院,650,神奈川県横浜市保土ヶ谷区岡沢町56,045-331-1961,,
https://www.fujimori-hosp.jp/,長野県,医療法人,藤森病院,60,長野県松本市中央2-9-8,0263-33-3672,,
https://mishimamorita.jp/,静岡県,医療法人,三島森田病院,203,静岡県三島市徳倉1195-793,055-986-3337,,
https://www.hiraiwa-hp.jp/,愛知県,医療法人,平岩病院,60,愛知県名古屋市緑区鳴海町字相原町26,052-621-0002,,
http://www.kaizuka-med.or.jp/iryoukikan/aoyama.html,大阪府,医療法人,青山病院,57,大阪府貝塚市新町11-5,072-433-2526,,
http://seiko-hp.com/index.html,大阪府,医療法人,星光病院,107,大阪府寝屋川市豊野町14-5,072-824-3333,,
http://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2019&chosano=1&kikancd=1270000370,大阪府,医療法人,博愛城北病院,60,大阪府大阪市旭区生江3-11-11,06-6922-6721,公式サイトなし,
http://machida-icho.com/,大阪府,医療法人,まちだ胃腸病院,61,大阪府大阪市西成区山王1-１-15,06-6649-1251,,
http://neyaiku.koudoukai.jp/,大阪府,社会医療法人,寝屋川生野病院,103,大阪府寝屋川市日新町2-8,072-834-9000,,
http://www.ono-hp.eikokai1996.or.jp/,兵庫県,医療法人,栄宏会小野病院,112,兵庫県小野市天神町973,0794-62-9900,,
http://www.hattori-hospital.com/,兵庫県,医療法人,服部病院,179,兵庫県三木市大塚218-3,0794-83-9462,,
http://www.amagasaki.hyogo.med.or.jp/?post_type=facilyties&p=411,兵庫県,個人,神崎病院,57,兵庫県尼崎市浜3-1-10,06-6499-8466,公式サイトなし,
http://www.shima-hp.jp/,和歌山県,医療法人,嶋病院,57,和歌山県和歌山市西仲間町1-30,073-431-3900,,
http://med-tsuyama.or.jp/medical/665,岡山県,医療法人,大谷病院,48,岡山県津山市田町33,0868-22-9381,,
https://www.kaigokensaku.mhlw.go.jp/33/index.php?action_kouhyou_detail_030_kihon=true&JigyosyoCd=3313710208-00&ServiceCd=230,岡山県,医療法人,美作中央病院,110,岡山県美作市明見357-1,0868-72-0461,公式サイトなし,
http://www.hibino.or.jp/,広島県,医療法人,日比野病院,146,広島県広島市安佐南区伴東7-9-2,082-848-2357,,
http://www.houkankai.com/,山口県,医療法人,豊関会記念病院,57,山口県下関市長府江下町2番10号,083-245-2222,,
http://www.kochi-iryo.net/pb_md_index/pb_md_list/pb_md_info/116?seldepts=,高知県,特定医療法人,香長中央病院,197,高知県香美市土佐山田町西本町5-5-34,0887-53-5155,公式サイトなし,
https://www.gunge-hp.jp/,長崎県,医療法人,郡家病院,50,長崎県五島市末広町1-9,0959-72-2436,,
https://www.kaigokensaku.mhlw.go.jp/43/index.php?action_kouhyou_detail_030_kihon=true&JigyosyoCd=4310120656-00&ServiceCd=230,熊本県,医療法人,比企病院,44,熊本県熊本市東区尾ノ上3-1-34,096-381-5151,公式サイトなし,
https://www.takarabekai.com/,鹿児島県,医療法人,財部記念病院,95,鹿児島県曽於市財部町南俣3619-1,0986-72-1000,,
